"artist_in_archive","itunes_returned_WRONG","albums_we_hold","itunes_candidates (id — name — genre)","SUGGESTED_ID","confidence","CORRECT_ARTIST_ID","notes"
"Pennywise","Angerfist","Pennywise (1991) | Unknown Road (1993) | Underdogs (1995) | About Time (1995)","2820315 — Pennywise — Hard Rock | 1380275674 — Pennywise — House | 1505772880 — Piff Pennywise JR — Hip-Hop/Rap | 492699267 — Penny Wise — Cookbooks, Food & Wine | 1816026658 — Pennywise — Hip-Hop/Rap | 1689061413 — Pennywise — Hip-Hop/Rap","","REVIEW — pick from candidates","",""
"Prophets of Rage","Public Enemy","2016-06-03: Hollywood Palladium, Los Angeles, CA, USA (2016) | 2017-06-04: Rock Am Ring, Nürburgring, Nürburg, Germany (2017) | Prophets of Rage (2017) | BORN GUILTY (2026)","1137215876 — Prophets of Rage — Hard Rock | 1704016968 — Prophets of Rage — Hip-Hop/Rap | 1855538469 — PROPHETS OF RAGE — Hip-Hop/Rap | 899409 — Rage Against the Machine — Hard Rock | 1704016969 — Prophets Of Rage — Hip-Hop/Rap | 935727853 — Camila Cabello — Pop","","REVIEW — pick from candidates","",""
"Rebuilder","Carrollton","Rock & Roll in America (2015) | Live From 2021 (2021) | Local Support (2023)","671035943 — Rebuilder — Punk | 1465124522 — Rebuilder — Jungle/Drum'n'bass","","REVIEW — pick from candidates","",""
"Richard Cheese & Lounge Against the Machine","Richard Cheese","(no discography held)","3572356 — Richard Cheese — Rock | 2456318 — The White Stripes — Alternative","","REVIEW — pick from candidates","",""
"Royal Blood","RICHLIN","Royal Blood (2014) | How Did We Get So Dark? (2017) | Typhoons (2021) | Back to the Water Below (2023)","809772445 — Royal Blood — Alternative | 791891160 — Royal Blood — Dance | 888213896 — Royal Blood — Electronic | 874444137 — Royal Blood — House | 396425343 — Royal Blood — Rock | 946759305 — Royal Blood — House","","REVIEW — pick from candidates","",""
"Sleigh Bells","Gene Autry","Treats (2010) | Reign of Terror (2012) | Bitter Rivals (2013) | Jessica Rabbit (2016)","370695831 — Sleigh Bells — Alternative | 409164949 — The Sleighbells — Holiday","370695831","HIGH — only exact name match, and we hold albums","",""
"Smoke & Mirrors Sound System","Agnes Obel","(no discography held)","1643103236 — Smoke and Mirrors Sound System — Reggae | 1553609468 — Smoke and Mirrors Soundsystem — Reggae | 419944559 — Mac Miller — Hip-Hop/Rap | 1477997296 — Smoke & Mirrors — Country | 1449086789 — Smoke & Mirrors — Hip-Hop/Rap | 1436408118 — Smoke & Mirrors — Rock","","REVIEW — pick from candidates","",""
"Snuff","Slipknot","SnuffSaidButGorBlimeyGuvStoneMeIfHeDidn’tThrowAWobblerChaChaChaChaChaChaChaChaChaYou’reGoingHomeInACosmicAmbience (1989) | Flibbiddydibbiddydob (1990) | Reach (1992) | Kilburn National 27.11.90 (1995)","34274579 — Snuff — Alternative | 1896311816 — Snuff — Punk | 1477892040 — Snuff — Hip-Hop/Rap | 1610613580 — Snuff — Hip-Hop/Rap | 1562018873 — Snuff — Hip-Hop/Rap | 1624135522 — SNUFF — Metal","","REVIEW — pick from candidates","",""
"Squeeze","Fifth Harmony","Squeeze (1978) | Cool for Cats (1979) | Argybargy (1980) | East Side Story (1981)","93650 — Squeeze — Pop | 1477449491 — Squeeze — Electronic | 424017732 — Squeeze — Reggae | 520263093 — Squeeze!! — J-Pop | 1436494129 — Squeeze — Hip-Hop/Rap | 436579141 — Squeeze — Hip-Hop/Rap","","REVIEW — pick from candidates","",""
"Team Band","Chiquito Team Band","Vodka Thieves (2009)","762759011 — Chiquito Team Band — Música tropical | 318493222 — Team Band — Rock | 1559419476 — The A Team Band — Pop | 1616055977 — DREAMTEAM BAND — Hip-Hop/Rap | 632366505 — A Team Band — Pop | 414954324 — The Home Team Band — Blues","318493222","HIGH — only exact name match, and we hold albums","",""
"The Alarm","Buckcherry","Declaration (1984) | Strength (1985) | Eye of the Hurricane (1987) | Electric Folklore Live (1988)","468568 — The Alarm — Rock | 219176293 — Kill The Alarm — Alternative | 83164437 — Sound The Alarm — Rock | 204742558 — The Alarm Clocks — Rock | 1808479179 — Sound The Alarm — Rock | 1585064670 — Ring The Alarm — Pop","468568","HIGH — only exact name match, and we hold albums","",""
"The Bronx","Kurtis Blow","The Bronx (2003) | Live at the Annandale (2004) | The Bronx (2006) | The Bronx (2008)","20918937 — The Bronx — Rock | 1631914996 — The Bronx — House | 925737376 — The Bronx Sluggers — Rock | 407692257 — The Bronx Wanderers — Rock | 293283583 — Lex Boogie from the Bronx — Hip-Hop/Rap | 1519032122 — THE BRONX — Hip-Hop/Rap","","REVIEW — pick from candidates","",""
"The Reflex","Duran Duran","Million Sellers (2013) | Million Sellers Vol. 2 (2014) | Million Sellers Vol. 3 (2015) | 2016 Remasters: Freebies (2016)","487384 — Duran Duran — Pop | 524104157 — The Reflex — Disco | 53055311 — Re-Flex — Dance | 1537795257 — The Reflex Artists — Electronica | 501437762 — Mac DeMarco — Alternative | 446274578 — Rain Sounds — New Age","","REVIEW — contaminated on BOTH sides, see notes","","Our discography holds Million Sellers (2013-2015) = a modern re-edit producer, NOT the 1984 band. If you saw the Politics of Dancing band, the answer is 53055311 (Re-Flex) AND discography.json needs fixing too. If you saw the DJ, 524104157 is right and the discography is already correct."
"The Untouchables","Ennio Morricone","Live and Let Dance (1984) | Wild Child (1985) | Agent Double O Soul (1988) | A Decade of Dance - Live! (1990)","1365524976 — The Untouchables — Reggae | 3174603 — The Untouchables — Jungle/Drum'n'bass | 449963250 — The Untouchables — Dance | 450113289 — The Untouchables — Jungle/Drum'n'bass | 990346439 — The Untouchables — Rock & Roll | 1435992379 — The Untouchables — House","","REVIEW — pick from candidates","",""
"The Wonderstuff","The Wonder Stuff","(no discography held)","13129677 — The Wonder Stuff — Rock","13129677","MEDIUM — exact name match, but no discography to corroborate","",""
"Torres","Noel Torres","TORRES (2013) | Daytrotter Presents No. 34 (2014) | Sprinter (2015) | Three Futures (2017)","610120875 — TORRES — Alternative | 1268283021 — Torres — Hip-Hop/Rap | 7044320 — Tommy Torres — Pop Latino | 198602190 — Andrés Torres — Pop | 466638 — Torres — House | 845293410 — Torres — Rock","","REVIEW — pick from candidates","",""
"Trombone Shorty & Orleans Avenue","Trombone Shorty","(no discography held)","258779315 — Trombone Shorty — Jazz","","REVIEW — pick from candidates","",""
"Vandals","CuBox","(no discography held)","3563419 — The Vandals — Alternative | 725715385 — Choir Vandals — Rock | 6266881 — Poetic Vandals — Hip-Hop/Rap | 210241531 — The Sweet Vandals — R&B/Soul | 219121376 — Vandals — Pop | 1806752183 — Blain and the Band of Vandals — Country","219121376","MEDIUM — exact name match, but no discography to corroborate","",""
"When In Rome","ROZZZQWEEN","When in Rome (1988) | More Than 12"" (1989) | When in Rome II (2006) | Across the Blue Ocean: Greatest 12"" & 7"" Hits (2012)","48883288 — When In Rome — Rock | 1278563185 — When In Rome — Children's Music | 1375350841 — When in Rome — Dance | 1021453899 — When In Rome II — Rock | 1608664273 — when in rome — Hip-Hop/Rap | 1516793716 — When In Rome — New Age","","REVIEW — pick from candidates","",""
"Wire","U2","Pink Flag (1977) | Chairs Missing (1978) | 154 (1979) | Document and Eyewitness (1981)","3184306 — Wire — Rock | 92124065 — Bossman — Hip-Hop/Rap | 80714730 — Diablo — Hip-Hop/Rap | 4740654 — Masta Ace — Hip-Hop/Rap | 41369321 — Rod Lee — Electronic | 259999860 — Blake Leyh — Electronic","3184306","HIGH — only exact name match, and we hold albums","",""
"X","Nicky Jam & J Balvin","Los Angeles (1980) | Wild Gift (1981) | Under the Big Black Sun (1982) | More Fun in the New World (1983)","1295432230 — X — Punk | 1082533559 — XXXTENTACION — Hip-Hop/Rap | 840225430 — x — Hip-Hop/Rap | 1434801023 — Ken Carson — Hip-Hop/Rap | 1400730578 — Lil Nas X — Pop | 254545979 — X JAPAN — Rock","","REVIEW — pick from candidates","",""
